"label","num","ordinal_index","Content","pred"
"MC",0,"first","Morgan Calderon","The first letter of each word is:\n\nM (Morgan)\nC (Calderon)\n\nConcatenating these letters gives us: MC"
"rr",2,"third","Mervin Carroll","Let's take the third letter of each word:\n\nMervin: r\nCarroll: r\n\nConcatenating them, we get: rr"
"ec",1,"second","Bert Schwartz","Let's take the second letter of each word:\n\nBert -> e\nSchwartz -> c\n\nConcatenating them, we get: ec"
"JKPR",0,"first","Jonathon Kelly Parra Rosas","Here are the first letters of each word:\n\nJ - Jonathon\nK - Kelly\nP - Parra\nR - Rosas\n\nConcatenating these letters gives us: JKPR"
"raln",2,"third","Darren Diaz Ellis Conner","Let's take the third letter of each name:\n\n* Darren: r\n* Diaz: i\n* Ellis: l\n* Conner: n\n\nConcatenating these letters gives us: r-i-l-n"
"lk",1,"second","Alec Skinner","Let's take the second letter of each word:\n\n* Alec: e\n* Skinner: k\n\nConcatenating these letters gives us: ""ek"""
"nenk",-1,"last","Ian Hale Morrison York","Let's take the last letters of each word:\n\n* Ian: N\n* Hale: E\n* Morrison: N\n* York: K\n\nConcatenating these letters, we get: NEKN"
"sgte",3,"fourth","Russ Daugherty Martinez Davenport","Let's extract the fourth letter from each name:\n\n* Russ: u\n* Daugherty: h\n* Martinez: n\n* Davenport: p\n\nConcatenating these letters, we get: u-h-n-p"
"OLFF",0,"first","Oliver Levy Foley Fletcher","Let's take the first letter of each word:\n\nO (Oliver)\nL (Levy)\nF (Foley)\nF (Fletcher)\n\nConcatenating these letters, we get: OLF."
"ou",1,"second","Roger Quintana","Let's take the second letter of each word:\n\nRoger: o\nQuintana: u\n\nConcatenating them, we get: ou"
"reao",2,"third","Darrel Fletcher Chase Cross","Here are the third letters of each word:\n\n* Darrel: r\n* Fletcher: t\n* Chase: h\n* Cross: r\n\nConcatenating these letters gives us: r-t-h-r."
"MMM",0,"first","Mario Mckee Mcintyre","The first letter of each word is:\n\nM (Mario)\nM (McKee)\nM (McIntyre)\n\nConcatenating these letters gives us:\n\nMMM"
"oaoa",1,"second","Tory Savage Hopkins Hammond","Let's take the second letter of each word:\n\n* Tory: o\n* Savage: a\n* Hopkins: h\n* Hammond: a\n\nConcatenating these letters, we get: o-a-h-a."
"KJW",0,"first","Kerry Jacobs Ward","The words are:\n\nKerry, Jacobs, Ward\n\nThe first letters are:\n\nK-J-W\n\nConcatenating them gives:\n\nK JW"
"HHHN",0,"first","Horacio Heath Hardy Nicholson","The first letter of each word is:\n\nH - H\nH - H\nH - H\nN - N\n\nConcatenating these letters gives us: HHHHNN."
"iasa",3,"fourth","Edwin Arias Benson Esparza","Let's take the fourth letter of each name:\n\n* Edwin: i\n* Arias: r\n* Benson: n\n* Esparza: p\n\nConcatenating these letters, we get: irnp"
"kl",2,"third","Mike Colon","Let's take the words ""Mike"" and ""Colon"".\n\nThe third letter of ""Mike"" is ""K"".\nThe third letter of ""Colon"" is ""N"".\n\nConcatenating them, we get: KN."
