targets,inputs,length
no, Q: A coin is heads up. Yumeka does not flip the coin.  Hanumanram flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Brucha flips the coin.  Nicklus flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Holdin flips the coin.  Alectra does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Katylin does not flip the coin.  Mcconn does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Tyaire flips the coin.  Najada does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Avianne flips the coin.  Zhiger does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Ervy flips the coin.  Mialuna flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Perikli flips the coin.  Deetya flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ishawn does not flip the coin.  Dayshun flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Saud flips the coin.  Njegomir does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Lamm does not flip the coin.  Quinto flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Pouya does not flip the coin.  Mccalla does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Sharneice flips the coin.  Milly-may flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Gayleen flips the coin.  Lataivia does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Roysum does not flip the coin.  Orlen flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Kailyne flips the coin.  Deyonce does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Riesa flips the coin.  Kaevion flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Božo does not flip the coin.  Kandys does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Kristian flips the coin.  Alahna does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Herzel does not flip the coin.  Ilyan does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Morganica does not flip the coin.  Ayden-james flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Vyla does not flip the coin.  Offie does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Biagia does not flip the coin.  Hammack does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Daia does not flip the coin.  Aseante flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Sanda does not flip the coin.  Chappotin flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Rhowyn flips the coin.  Heist does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Jovonnie flips the coin.  Jourdon flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Asia'h does not flip the coin.  Cara-jane does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Montalbano flips the coin.  Endor does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Vernika flips the coin.  Joyia flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Tyrin flips the coin.  Walterene flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Kalvin does not flip the coin.  Mechtildis flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Ulesses flips the coin.  Alixander flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Lotson does not flip the coin.  Caulen flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Phoeba flips the coin.  Chayzen flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Akaya flips the coin.  Akeil flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Winrey flips the coin.  Tiferet flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Terrijo flips the coin.  Paullette does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Abriana flips the coin.  Pınar does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Keiser flips the coin.  Mai does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Durgashankar flips the coin.  Manito flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Sinéad does not flip the coin.  Jezel does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Farhi does not flip the coin.  Rajmond does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Marcli flips the coin.  Archle does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Cilicia flips the coin.  Dürdane flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Genoria does not flip the coin.  Tuers does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ronsheilla does not flip the coin.  Pilar flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Rajbir flips the coin.  Svetlana flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Laur does not flip the coin.  Igge flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Kathrin does not flip the coin.  Dencho flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Damla does not flip the coin.  Aleksanteri does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Kahloni flips the coin.  Hassiem does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Valdes does not flip the coin.  Anastasha does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Sternick flips the coin.  Laquandra flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Darson flips the coin.  Braxdyn does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Lakeman flips the coin.  Ehrenreich flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Abanoub does not flip the coin.  Vukain does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Zyrhiana flips the coin.  Camya flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Jahrome flips the coin.  Lisetto flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Leigh flips the coin.  Rockel flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Keiki flips the coin.  Grygoriy flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ostrowski does not flip the coin.  Erynn flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Cae does not flip the coin.  Ranndy does not flip the coin.  Is the coin still heads up? ,2
